class,precision,recall,f1-score,support,f0.5-score,model
clothing~skirts~fitted skirts,0.46236559139784944,0.26875,0.33992094861660077,320,0.4041353383458646,bayes
clothing~skirts~full skirts,0.41216216216216217,0.25957446808510637,0.3185378590078329,235,0.3688029020556227,bayes
clothing~trousers~chinos,0.6045845272206304,0.7977315689981096,0.6878565607171965,529,0.6353507979524241,bayes
clothing~knitwear~knitted dresses,0.41265822784810124,0.6680327868852459,0.5101721439749608,488,0.4468201754385965,bayes
clothing~trousers~cropped trousers,0.6284403669724771,0.6510522742701969,0.6395465155051684,1473,0.6328362148607629,bayes
clothing~trousers~flared trousers,0.7047244094488189,0.5646687697160884,0.626970227670753,634,0.6714178544636158,bayes
lingerie & nightwear~bras~n/d,0.7083333333333334,0.5,0.5862068965517241,34,0.6538461538461539,bayes
lingerie & nightwear~loungewear~n/d,0.3333333333333333,0.023809523809523808,0.044444444444444446,42,0.09259259259259259,bayes
pre-owned~coats~n/d,0.9206349206349206,0.6590909090909091,0.7682119205298014,88,0.8529411764705883,bayes
pre-owned~dresses~n/d,0.8497409326424871,0.8913043478260869,0.8700265251989391,184,0.8577405857740585,bayes
pre-owned~jackets~n/d,0.8099547511312217,0.8443396226415094,0.8267898383371824,212,0.8166058394160585,bayes
pre-owned~skirts~n/d,0.958904109589041,0.7954545454545454,0.8695652173913044,88,0.9210526315789473,bayes
pre-owned~tops~n/d,0.8974358974358975,0.9120521172638436,0.9046849757673667,307,0.90032154340836,bayes
pre-owned~trousers~n/d,0.9506172839506173,0.8953488372093024,0.9221556886227545,86,0.9390243902439026,bayes
shoes~boots~n/d,0.9423076923076923,0.95703125,0.9496124031007752,512,0.945216049382716,bayes
lingerie & nightwear~bodies~n/d,0.3092105263157895,0.5465116279069767,0.3949579831932773,86,0.3386167146974064,bayes
shoes~derby shoes~n/d,1.0,0.48717948717948717,0.6551724137931034,39,0.826086956521739,bayes
shoes~flip flops & slides~n/d,0.8666666666666667,0.2826086956521739,0.4262295081967213,46,0.6132075471698113,bayes
shoes~loafers~n/d,0.8699186991869918,0.9067796610169492,0.8879668049792531,118,0.8770491803278688,bayes
shoes~mules~n/d,0.7946428571428571,0.5705128205128205,0.664179104477612,156,0.7367549668874172,bayes
shoes~pumps~n/d,0.8285714285714286,0.8613861386138614,0.8446601941747574,202,0.8349328214971209,bayes
shoes~sandals~n/d,0.7804878048780488,0.9256198347107438,0.8468809073724007,484,0.8057553956834533,bayes
shoes~slippers~n/d,0.8571428571428571,0.17647058823529413,0.29268292682926833,34,0.4838709677419355,bayes
shoes~trainers~hi-tops,0.75,0.18461538461538463,0.29629629629629634,65,0.46511627906976744,bayes
shoes~trainers~low-tops,0.7816326530612245,0.9318734793187348,0.8501664816870146,411,0.8076760860396459,bayes
shoes~trainers~n/d,0.7777777777777778,0.8575498575498576,0.8157181571815719,351,0.7925223802001053,bayes
shoes~espadrilles~n/d,0.9285714285714286,0.38235294117647056,0.5416666666666667,34,0.7222222222222221,bayes
jewellery~watches~n/d,1.0,0.8222222222222222,0.9024390243902439,45,0.9585492227979274,bayes
jewellery~rings~n/d,0.911660777385159,0.8657718120805369,0.8881239242685025,298,0.902097902097902,bayes
